geo_unit,0 0 0 2,0 0 2 0,0 0 0 1,0 0 1 0,0 >=1 2 0,1 >=0 2 0,>=2 >=0 2 0,0 >=1 1 0,1 >=0 1 0,>=2 >=0 1 0,1 >=0 >=0 >=0,>=2 >=0 >=0 >=0,0 >=0 0 0,0 0 0 >=3,0 >=0 >=0 >=0
E00012600,8,24,7,42,4,13,13,6,4,4,3,2,1,0,5
E00013391,8,9,32,43,1,5,3,5,3,7,1,2,2,0,5
E00013392,5,6,7,10,13,10,17,19,6,14,9,5,6,0,29
E00013393,1,5,8,36,0,6,3,10,5,5,1,3,2,0,16
E00013395,1,8,7,39,3,2,6,3,9,3,1,1,1,0,15
E00013411,4,14,19,34,6,3,3,13,5,4,3,0,1,7,22
E00013414,3,18,9,40,6,9,13,15,15,18,1,3,3,0,13
E00013415,1,8,5,16,8,6,8,16,9,11,2,6,0,0,12
E00013416,3,6,12,22,4,6,12,24,16,5,4,2,4,0,15
E00013417,1,15,10,36,5,6,11,12,6,5,1,1,8,0,26
E00013418,0,10,12,30,3,4,7,11,10,15,1,2,0,0,15
E00013464,3,13,12,40,14,2,10,15,10,7,5,1,2,0,8
E00013470,6,41,11,55,5,5,11,17,7,7,5,2,16,1,39
E00013471,1,19,7,34,6,6,7,10,4,5,7,1,0,0,10
E00013472,0,5,7,18,1,5,14,7,8,16,2,0,2,0,12
E00013473,3,8,5,24,4,14,12,13,5,11,3,3,4,0,10
E00013475,7,9,25,17,3,1,5,2,2,0,1,0,2,1,11
E00013477,0,18,18,48,7,6,7,10,7,8,1,2,1,0,11
E00013478,1,10,25,42,9,8,11,7,7,4,1,3,3,0,16
E00013480,3,20,9,19,6,8,6,15,2,1,4,4,3,3,15
E00013481,5,6,4,9,10,6,16,16,1,8,3,2,8,0,31
E00013482,4,13,14,38,5,2,19,16,10,7,1,2,3,0,21
E00013483,0,11,8,24,6,9,8,10,7,6,3,2,2,0,15
E00013485,10,17,10,19,7,7,7,8,3,2,0,1,13,0,11
E00013502,2,27,9,79,1,3,14,9,8,5,1,1,3,0,20
E00013503,3,8,9,35,3,7,15,10,14,13,3,0,1,0,11
E00170305,3,21,12,34,3,5,6,5,12,17,1,4,0,0,15
E00170317,0,8,8,26,8,9,16,15,7,11,5,2,0,0,15
E00170318,4,10,6,20,1,8,23,3,12,10,4,5,1,0,21
E00170319,1,17,4,37,5,7,15,17,13,8,4,4,0,0,18
E00174668,3,3,27,12,6,3,6,11,9,10,7,5,0,1,8
E00174670,5,11,2,42,0,6,8,3,2,2,3,0,0,1,17
E00174672,1,58,2,46,1,14,1,2,1,0,0,0,0,0,0
E00174673,0,3,1,83,0,0,0,0,0,0,0,0,0,0,4
E00174805,1,30,8,54,2,6,4,3,5,6,2,1,1,0,24
E00174843,0,7,2,15,0,1,2,4,1,0,0,0,6,2,22
E00176472,6,13,3,14,6,4,16,11,7,8,3,6,0,0,14
E00176473,0,12,1,12,7,15,27,4,9,9,1,5,0,0,3
E00178917,1,35,17,52,2,15,7,5,4,5,4,2,0,0,25
E00178932,0,13,4,9,4,4,4,2,8,1,3,0,0,0,4
E00178940,4,12,8,24,8,11,9,8,9,9,2,0,0,0,13
E00178951,2,5,4,16,6,10,10,11,6,7,0,19,1,0,5
E00178980,0,39,3,40,1,11,6,0,4,0,1,0,2,0,28
E00179017,0,48,15,47,5,9,5,0,3,3,0,3,0,0,26
E00179024,3,4,6,6,3,7,6,5,4,3,3,9,1,0,12
E00184398,2,3,8,6,7,5,5,0,0,0,4,1,0,0,7
E00184435,1,10,3,7,2,8,13,6,2,5,0,3,0,0,2
E00184444,2,50,11,30,8,21,22,7,4,7,6,7,2,0,12
E00184448,0,8,10,14,15,11,22,9,3,3,15,14,0,0,9
E00184475,4,19,11,28,14,18,34,12,4,19,8,8,0,1,9
E00184479,1,20,0,7,1,9,3,4,0,2,0,0,0,0,0
E00184486,11,17,12,36,17,19,30,8,11,22,6,2,0,0,13
E00184497,0,76,0,40,2,15,9,4,4,1,2,0,3,0,18
E00184502,0,21,5,50,3,11,25,6,10,11,2,2,0,0,8
E00184525,0,2,1,14,2,7,9,5,3,3,1,1,0,0,4
E00184527,3,9,4,6,5,7,13,3,3,3,3,6,2,0,3
E00184528,0,38,0,33,3,10,7,4,1,1,4,2,1,0,18
E00190421,3,40,2,65,2,6,2,4,0,1,0,0,3,0,8
E00190425,1,14,19,50,5,10,11,1,9,9,0,1,1,0,7
E00190431,3,27,2,45,1,10,4,4,3,7,1,0,0,0,10
E00190439,1,7,1,35,4,7,18,5,11,15,2,3,0,0,4
E00190441,2,21,3,34,2,3,5,3,6,10,0,2,5,0,6
E00190444,1,13,3,48,0,3,2,1,1,0,0,0,4,0,4
E00190456,3,20,2,18,1,4,1,0,1,0,0,0,0,0,1
E00190469,3,1,10,19,10,4,13,8,6,8,4,5,4,0,11
