         16595716 function calls (16555956 primitive calls) in 4.772 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  708/169    0.002    0.000    0.024    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_parser.py:451(_parse_sub)
      662    0.000    0.000    0.024    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:3103(from_callable)
 1102/674    0.005    0.000    0.024    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:2496(_signature_from_callable)
  943/179    0.009    0.000    0.023    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_parser.py:511(_parse)
     4716    0.009    0.000    0.023    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:67(read_to_condition)
        1    0.000    0.000    0.022    0.022 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/arrays/__init__.py:1(<module>)
        1    0.000    0.000    0.022    0.022 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.022    0.022 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
     1518    0.005    0.000    0.021    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/construction.py:517(sanitize_array)
    95231    0.013    0.000    0.021    0.000 /home/gavin/Documents/MAY/june_zero/may/geography/geographical_unit.py:43(add_person)
        1    0.000    0.000    0.021    0.021 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/special/__init__.py:1(<module>)
      169    0.000    0.000    0.021    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_compiler.py:576(_code)
      663    0.001    0.000    0.020    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:1510(info)
        1    0.000    0.000    0.020    0.020 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/_libs/__init__.py:1(<module>)
     2508    0.007    0.000    0.020    0.000 <frozen importlib._bootstrap>:304(acquire)
      665    0.001    0.000    0.020    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:1641(_log)
       13    0.000    0.000    0.020    0.002 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/parsers/readers.py:868(read_csv)
  497/374    0.001    0.000    0.020    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:426(inner)
     3415    0.002    0.000    0.019    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:77(read_to_next_empty_line)
      323    0.011    0.000    0.019    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:891(cleandoc)
    60873    0.019    0.000    0.019    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.019    0.019 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/matrixlib/__init__.py:1(<module>)
       13    0.000    0.000    0.019    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/parsers/readers.py:583(_read)
        1    0.000    0.000    0.019    0.019 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
     3631    0.009    0.000    0.019    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:168(_is_at_section)
        1    0.000    0.000    0.019    0.019 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/linalg/__init__.py:1(<module>)
   134553    0.017    0.000    0.018    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.018    0.018 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/llvmlite/binding/dylib.py:1(<module>)
       24    0.000    0.000    0.018    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_util.py:277(decorator)
        1    0.000    0.000    0.018    0.018 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/linalg/_linalg.py:1(<module>)
      398    0.003    0.000    0.018    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_util.py:511(getfullargspec_no_self)
        1    0.000    0.000    0.017    0.017 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typeconv/rules.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/_libs/tslibs/__init__.py:1(<module>)
        1    0.000    0.000    0.017    0.017 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typeconv/rules.py:16(_init_casting_rules)
        1    0.000    0.000    0.017    0.017 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_new_distributions.py:1(<module>)
     1403    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:416(__enter__)
       46    0.000    0.000    0.017    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typeconv/castgraph.py:119(insert_rule)
        3    0.000    0.000    0.016    0.005 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:1317(_combine_docs)
       46    0.003    0.000    0.016    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typeconv/castgraph.py:92(propagate)
 1670/169    0.006    0.000    0.016    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_compiler.py:37(_compile)
        1    0.000    0.000    0.016    0.016 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_morestats.py:1(<module>)
 8349/217    0.007    0.000    0.016    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/copy.py:119(deepcopy)
        1    0.000    0.000    0.016    0.016 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/yaml/__init__.py:1(<module>)
