MBD_Temp_ID,Latitude,Longitude
TEMP000354,52.6236496,1.0006665
TEMP000355,52.4653468,1.1400518
TEMP000356,52.7968814,0.5541427
TEMP000357,52.6418283,0.4017172
TEMP000358,52.9009158,0.8799959
TEMP000359,52.8911825,0.8733999
TEMP000360,52.6973957,0.1768541
TEMP000361,52.9364433,0.9108934
TEMP000362,52.7603107,0.7417513
TEMP000363,52.7522932,0.5547104
TEMP000364,52.9519235,0.8535939
TEMP000365,52.6931712,0.3725367
TEMP000366,52.4285802,1.1006537
TEMP000367,51.2409271,-0.09891
TEMP000368,51.1002289,-0.5720836
TEMP000369,51.1550194,-0.1253222
TEMP000370,51.1816834,-0.1202761
TEMP000371,51.2023861,0.0008252
TEMP000372,51.2495127,-0.6576623
TEMP000373,51.2365741,-0.2057617
TEMP000374,51.2115306,-0.7672201
TEMP000375,51.44299,-0.0818975
TEMP000376,51.1895014,-0.2053507
TEMP000377,51.2345409,-0.266774
TEMP000378,51.1943897,-0.5573618
TEMP000379,51.4604186,-0.2748413
TEMP000380,51.3703979,-0.3645459
TEMP000381,51.2132273,-0.800582
TEMP000382,51.2879327,-0.3522465
TEMP000383,51.1624671,0.0200005
TEMP000384,51.1606567,-0.8050622
TEMP000385,51.3149354,-0.7396949
TEMP000386,51.246536,-0.057126
TEMP000387,51.2486082,-0.0666812
TEMP000388,51.2092896,-0.5415756
TEMP000389,51.360464,-0.0990504
TEMP000390,51.3781784,-0.4692952
TEMP000391,51.4116953,-0.2892764
TEMP000392,51.0876003,-0.7094023
TEMP000393,51.1488202,-0.0612586
TEMP000394,51.2651639,-0.670092
TEMP000395,51.1359363,-0.4952654
TEMP000396,51.4948514,-0.1186416
TEMP000397,51.4393714,-0.1250535
TEMP000398,51.2737167,-0.3912875
TEMP000399,51.3078501,-0.3454086
TEMP000400,51.2462108,-0.5271362
TEMP000401,51.2512754,-0.5147671
TEMP000402,51.2668531,-0.3243313
TEMP000403,51.4222721,-0.5451166
TEMP000404,51.0949188,-0.6801357
TEMP000405,51.2422649,-0.1260769
TEMP000406,51.2124054,-0.4252973
TEMP000407,51.3024697,-0.3470214
TEMP000408,51.3045101,-0.1943538
TEMP000409,51.1135723,-0.4315903
TEMP000410,51.2993964,-0.0863451
TEMP000411,51.4507909,-0.1075317
TEMP000412,51.1244121,-0.3270666
TEMP000413,51.2476503,-0.5714707
TEMP000414,51.2539123,-0.0275057
TEMP000415,51.2283464,-0.5377019
TEMP000416,51.3881849,-0.4193703
TEMP000417,51.4872362,-0.093005
TEMP000418,51.3134929,-0.0562425
TEMP000419,51.2003049,-0.7598524
TEMP000420,51.4033081,-0.3711297
TEMP000421,51.1961446,-0.1305226
TEMP000422,51.2773487,-0.0350269
TEMP000423,51.4921609,-0.2799762
TEMP000424,51.6110364,-0.0534344
TEMP000425,51.6245403,-0.0479109
TEMP000426,51.4824761,-0.3101953
TEMP000427,51.5350788,-0.4597641
TEMP000428,51.5910087,-0.2286973
TEMP000429,51.5643658,-0.4447128
TEMP000430,51.4654835,-0.3460448
TEMP000431,51.5233663,-0.1043022
TEMP000432,51.4094255,-0.4902675
TEMP000433,51.511198,-0.3701454
TEMP000434,51.5120139,-0.1171744
TEMP000435,51.5004027,-0.1270323
TEMP000436,51.5229925,-0.1367621
TEMP000437,51.4135265,-0.3951917
TEMP000438,51.4287522,-0.3255112
TEMP000439,51.5448289,-0.214963
TEMP000440,54.0453451,-0.8041747
TEMP000441,53.8391118,-0.4247664
TEMP000442,54.0939431,-0.2889904
TEMP000443,53.8138863,-0.6755828
TEMP000444,53.6504594,0.0727942
TEMP000445,54.2022626,-0.3872412
TEMP000446,53.8773939,-0.6477181
TEMP000447,54.0203893,-0.5026577
TEMP000448,53.8805145,-0.4574922
TEMP000449,53.933896,-0.5590731
TEMP000450,54.0934429,-1.3302836
TEMP000451,53.8186169,-0.6162195
TEMP000452,54.1037742,-0.1631619
TEMP000453,53.9814007,-0.4064561
TEMP000454,53.8618724,-1.0998463
TEMP000455,53.9342631,-0.44481
TEMP000456,53.7764305,-0.6221307
TEMP000457,54.0195246,-0.579008
TEMP000458,53.7059816,0.0331027
TEMP000459,53.8967027,-0.9621176
TEMP000460,53.6692209,0.0282929
TEMP000461,53.6608817,0.0496143
TEMP000462,54.0470867,-0.2191245
TEMP000463,54.0953897,-0.2644632
TEMP000464,53.9690442,-0.356617
TEMP000465,53.832753,-0.1340076
TEMP000466,53.9796409,-0.2182065
TEMP000467,53.9521997,-0.2460278
TEMP000468,53.7404276,-0.1134723
TEMP000469,54.2090197,-0.2903776
TEMP000470,53.9586761,-0.3571883
TEMP000471,54.2009563,-0.3566402
TEMP000472,53.796918,-0.0540573
TEMP000473,53.8858769,-0.1985926
TEMP000474,53.9468122,-1.0447059
TEMP000475,53.8026541,-0.5590132
TEMP000476,54.2277964,-0.3478945
TEMP000477,54.0319312,-0.3541389
TEMP000478,53.7808016,-0.0196386
TEMP000479,53.8821866,-1.0954059
TEMP000480,54.2012475,-0.3186757
TEMP000481,53.7194113,-0.0177806
TEMP000482,53.6566287,0.1260187
TEMP000483,53.7582141,-0.2009833
TEMP000484,53.9052617,-0.2327713
TEMP000485,53.7191564,-0.1708663
TEMP000486,54.0581176,-0.2981019
TEMP000487,54.0931516,-0.304952
TEMP000488,53.7459127,0.0107648
TEMP000489,53.7764841,-0.5470262
TEMP000490,53.8479392,-0.1865449
TEMP000491,53.7434361,-0.9097924
TEMP000492,53.772357,-0.9272518
TEMP000493,54.0063185,-0.85869
TEMP000494,53.7280226,0.0334975
TEMP000495,54.149788,-0.6874932
TEMP000496,51.146555,-0.979068
TEMP000497,50.9284994,-1.7528251
TEMP000498,51.3073708,-1.4124011
TEMP000499,50.9856619,-1.4274975
TEMP000500,50.8843172,-1.0810084
TEMP000501,51.1896111,-0.8777402
TEMP000502,51.1564586,-1.0519249
TEMP000503,51.324684,-1.246574
TEMP000504,51.3450174,-0.9270995
TEMP000505,50.853102,-1.2235635
TEMP000506,50.9699237,-1.7602766
TEMP000507,50.8102179,-1.193707
TEMP000508,51.0520707,-1.2773658
TEMP000509,50.8962667,-1.506196
TEMP000510,51.1779768,-1.3038684
TEMP000511,51.233477,-0.8619713
TEMP000512,50.8355844,-1.7632685
TEMP000513,51.0395939,-1.6116447
TEMP000514,51.0435942,-1.63472
TEMP000515,50.9499502,-1.281668
TEMP000516,50.7890769,-1.0497325
TEMP000517,50.7460964,-1.570006
TEMP000518,50.8737157,-1.7966827
TEMP000519,51.2304362,-1.4820415
TEMP000520,50.8478031,-1.0275523
TEMP000521,51.3317106,-1.2654943
TEMP000522,50.8297146,-1.3517595
TEMP000523,51.1755238,-1.6043144
TEMP000524,51.2543734,-0.9734365
TEMP000525,51.3415331,-0.8261486
TEMP000526,50.9314573,-1.0810309
TEMP000527,50.8908154,-1.7957274
TEMP000528,50.79595,-0.9769893
TEMP000529,51.2261335,-0.9967044
TEMP000530,51.1654378,-0.9516124
TEMP000531,50.8452091,-1.2778319
TEMP000532,51.0339631,-1.1586541
TEMP000533,51.1346824,-1.4684881
TEMP000534,50.8038525,-1.202102
TEMP000535,51.3205052,-1.479059
TEMP000536,51.2188096,-1.5863232
TEMP000537,51.1305802,-1.4899507
TEMP000538,50.9863097,-0.9583188
TEMP000539,51.3168346,-0.9454517
TEMP000540,51.1700694,-0.9180299
TEMP000541,51.1860003,-1.106878
TEMP000542,50.8786309,-1.3575373
TEMP000543,50.9013542,-1.4640308
TEMP000544,51.3743652,-0.9986208
TEMP000545,51.2498835,-0.9121301
TEMP000546,50.7523575,-1.7646144
TEMP000547,51.2814369,-1.0756807
TEMP000548,51.1531756,-0.9723907
TEMP000549,50.8624894,-1.0249689
TEMP000550,51.0285339,-1.3332365
TEMP000551,50.774414,-1.8448748
TEMP000552,51.2169912,-1.5807157
TEMP000553,50.8224585,-1.064952
TEMP000554,51.1817593,-1.4076127
TEMP000555,51.2350619,-1.1190427
TEMP000556,51.202557,-1.0640337
TEMP000557,51.086059,-1.5472927
TEMP000558,51.2230296,-1.1362765
TEMP000559,50.7915245,-1.3751167
TEMP000560,50.9468999,-1.1319952
TEMP000561,50.8460435,-1.7913763
TEMP000562,51.1342992,-0.8917489
TEMP000563,50.913225,-1.8069255
TEMP000564,50.9507346,-1.5123537
TEMP000565,50.7266331,-1.5899612
TEMP000566,51.374778,-0.9828565
TEMP000567,51.0461287,-1.0701959
TEMP000568,51.0831094,-1.0817015
TEMP000569,50.7839586,-1.5490271
TEMP000570,50.9585292,-1.5444538
TEMP000571,51.0782297,-1.3799879
TEMP000572,51.1141232,-1.4934506
TEMP000573,50.792321,-1.3509897
TEMP000574,51.1598142,-1.2442297
TEMP000575,51.1995968,-1.5598048
TEMP000576,51.1898377,-1.4917386
TEMP000577,51.0942176,-0.9139386
TEMP000578,51.2635416,-0.9998464
TEMP000579,50.767884,-1.5324238
TEMP000580,51.1270595,-1.5648468
TEMP000581,51.143481,-1.5953096
TEMP000582,51.1547249,-0.8785517
TEMP000583,50.9001661,-1.1855861
TEMP000584,50.7321597,-1.774225
TEMP000585,51.0777866,-1.4848261
TEMP000586,50.6947023,-1.329326
TEMP000587,50.7082538,-1.1402888
TEMP000588,50.6481517,-1.3207063
TEMP000589,50.6843084,-1.5101818
TEMP000590,50.6587385,-1.232696
TEMP000591,50.6294278,-1.3241171
TEMP000592,50.6763061,-1.200315
TEMP000593,50.6432943,-1.2354773
TEMP000594,50.6659079,-1.2472072
TEMP000595,50.66323,-1.3481607
TEMP000596,50.66293,-1.1550011
TEMP000597,50.7009715,-1.4165463
TEMP000598,50.7133913,-1.1589023
TEMP000599,50.6084009,-1.2302688
TEMP000600,50.6981161,-1.2605865
TEMP000601,50.7025337,-1.3712127
TEMP000602,50.6903462,-1.4506548
TEMP000603,50.7314389,-1.2889678
TEMP000604,50.6735714,-1.4166371
TEMP000605,50.6269131,-1.2214377
TEMP000606,50.5841137,-1.2465678
TEMP000607,50.6755333,-1.1165786
TEMP000608,50.5866521,-1.241385
TEMP000609,52.436489,1.3394759
TEMP000610,52.4834512,1.6083614
TEMP000611,52.5800114,1.0537852
TEMP000612,52.6107245,1.0840017
TEMP000613,52.9357481,0.5355321
TEMP000614,52.8892451,1.1959
TEMP000615,52.9110931,1.1856279
TEMP000616,52.6181546,0.5851138
TEMP000617,52.7081825,0.5386142
TEMP000618,52.7713954,0.9900597
TEMP000619,52.6986316,0.4747356
TEMP000620,52.6303222,1.4489621
TEMP000621,52.8510506,1.2146819
TEMP000622,52.8839789,0.6811377
TEMP000623,52.71567,1.6882829
TEMP000624,52.6255079,1.4519669
TEMP000625,52.3854194,1.0492959
TEMP000626,52.4351129,0.8789557
TEMP000627,52.8505314,1.0621561
TEMP000628,52.3772606,1.2473726
TEMP000629,52.377949,0.949158
TEMP000630,52.8192769,0.5153898
TEMP000631,52.7779201,1.2871204
TEMP000632,52.4841484,1.6707405
TEMP000633,52.9518433,0.741935
TEMP000634,52.5540239,1.0830422
TEMP000635,52.7381795,0.8366363
TEMP000636,52.5292787,0.8484211
TEMP000637,52.7557828,1.3076674
TEMP000638,52.6010575,0.5746436
TEMP000639,52.9120281,0.4967749
TEMP000640,52.4609923,0.9148499
TEMP000641,52.5194261,0.7370229
TEMP000642,52.583414,1.5146839
TEMP000643,52.6056856,1.0860219
TEMP000644,52.5730383,1.215672
TEMP000645,52.6281722,0.8916123
TEMP000646,52.6625079,1.2976781
TEMP000647,52.7552767,1.2735453
TEMP000648,52.9569757,0.7943011
TEMP000649,52.6773966,0.8199168
TEMP000650,52.8921605,0.755967
TEMP000651,52.5674066,1.0232922
TEMP000652,52.816665,0.9412187
TEMP000653,52.5938906,1.1204363
TEMP000654,52.8306664,0.8471392
TEMP000655,52.797884,1.3300272
TEMP000656,52.6300333,0.4927018
TEMP000657,52.6257722,0.9875136
TEMP000658,52.7436282,0.5628982
TEMP000659,52.7564631,0.4228529
TEMP000660,52.5824503,0.7335893
TEMP000661,52.5787592,1.7240115
TEMP000662,52.8591374,1.309595
TEMP000663,52.6113837,1.160849
TEMP000664,52.5109845,1.4895068
TEMP000665,52.4175435,0.7416003
TEMP000666,52.6055673,1.0038437
TEMP000667,52.6567991,1.5058134
TEMP000668,52.4822388,0.9733567
TEMP000669,52.4291148,0.9035753
TEMP000670,52.4895094,1.4040582
TEMP000671,52.6322201,1.2785679
TEMP000672,52.7049164,0.8398528
TEMP000673,52.5989158,1.1894999
TEMP000674,52.865136,0.945976
TEMP000675,52.4718233,0.6148176
TEMP000676,52.6958546,1.4837555
TEMP000677,52.691759,1.2480773
TEMP000678,52.8232965,0.6610962
TEMP000679,52.523493,0.6768531
TEMP000680,52.7786108,1.5437515
TEMP000681,52.8652376,0.5106273
TEMP000682,52.423579,1.1547515
